title,price,numeric_price,rating,url
Counter-Strike 2,Free,0.0,81.0,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1
R.E.P.O.,385 руб,385.0,96.0,https://store.steampowered.com/app/3241660/REPO/?snr=1_7_7_230_150_1
Clair Obscur: Expedition 33,3499 руб,3499.0,94.0,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_230_150_1
PUBG: BATTLEGROUNDS,Free,0.0,67.0,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_230_150_1
Dota 2,Free,0.0,82.0,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1
Rust,1499 руб,1499.0,85.0,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1
Drive Beyond Horizons,750 руб,750.0,79.0,https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/?snr=1_7_7_230_150_1
Stellaris,549 руб,549.0,59.0,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_230_150_1
Hearts of Iron IV,830 руб,830.0,87.0,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_230_150_1
Path of Exile 2,1398 руб,1398.0,40.0,https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_230_150_1
DARK SOULS™ III,1199 руб,1199.0,93.0,https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_230_150_1
Once Human,Free,0.0,77.0,https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_230_150_1
Baldur's Gate 3,1999 руб,1999.0,95.0,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_1
RimWorld,879 руб,879.0,97.0,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_230_150_1
Limbus Company,Free,0.0,92.0,https://store.steampowered.com/app/1973530/Limbus_Company/?snr=1_7_7_230_150_1
Enshrouded,1119 руб,1119.0,81.0,https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_230_150_1
The Precinct,1190 руб,1190.0,85.0,https://store.steampowered.com/app/490110/The_Precinct/?snr=1_7_7_230_150_1
ELDEN RING,3599 руб,3599.0,,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_230_150_1
Cuphead,293 руб,293.0,94.0,https://store.steampowered.com/app/268910/Cuphead/?snr=1_7_7_230_150_1
inZOI,2399 руб,2399.0,68.0,https://store.steampowered.com/app/2456740/inZOI/?snr=1_7_7_230_150_1
Black Mesa,71 руб,71.0,92.0,https://store.steampowered.com/app/362890/Black_Mesa/?snr=1_7_7_230_150_1
DARK SOULS™: REMASTERED,1199 руб,1199.0,91.0,https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_230_150_1
Kenshi,330 руб,330.0,95.0,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_230_150_1
Euro Truck Simulator 2,1249 руб,1249.0,96.0,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_230_150_1
FragPunk,Free,0.0,74.0,https://store.steampowered.com/app/2943650/FragPunk/?snr=1_7_7_230_150_1
Team Fortress 2,Free,0.0,95.0,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_2
Cult of the Lamb,349 руб,349.0,96.0,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/?snr=1_7_7_230_150_2
Palworld,825 руб,825.0,89.0,https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_230_150_2
V Rising,1200 руб,1200.0,87.0,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_230_150_2
Wallpaper Engine,329 руб,329.0,97.0,https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_230_150_2
Strinova,Free,0.0,75.0,https://store.steampowered.com/app/1282270/Strinova/?snr=1_7_7_230_150_2
Crusader Kings III,2769 руб,2769.0,74.0,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_230_150_2
Age of Wonders 4,1661 руб,1661.0,80.0,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_230_150_2
THE FINALS,Free,0.0,80.0,https://store.steampowered.com/app/2073850/THE_FINALS/?snr=1_7_7_230_150_2
"Warhammer 40,000: Space Marine 2",3199 руб,3199.0,77.0,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_230_150_2
Arma Reforger,2533 руб,2533.0,82.0,https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_230_150_2
Wuthering Waves,Free,0.0,89.0,https://store.steampowered.com/app/3513350/Wuthering_Waves/?snr=1_7_7_230_150_2
Black Desert,350 руб,350.0,65.0,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_230_150_2
Factorio,1200 руб,1200.0,97.0,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_230_150_2
Phasmophobia,710 руб,710.0,93.0,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_230_150_2
Lust Goddess,Free,0.0,,https://store.steampowered.com/app/2808930/Lust_Goddess/?snr=1_7_7_230_150_2
Car Mechanic Simulator 2021,"262,80 руб",262.8,95.0,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_230_150_2
Black Myth: Wukong,3599 руб,3599.0,93.0,https://store.steampowered.com/app/2358720/Black_Myth_Wukong/?snr=1_7_7_230_150_2
Geometry Dash,200 руб,200.0,90.0,https://store.steampowered.com/app/322170/Geometry_Dash/?snr=1_7_7_230_150_2
Sons Of The Forest,1100 руб,1100.0,90.0,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_230_150_2
Last Epoch,1475 руб,1475.0,88.0,https://store.steampowered.com/app/899770/Last_Epoch/?snr=1_7_7_230_150_2
Raft,419 руб,419.0,90.0,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_230_150_2
eFootball™,Free,0.0,66.0,https://store.steampowered.com/app/1665460/eFootball/?snr=1_7_7_230_150_2
BeamNG.drive,880 руб,880.0,96.0,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_230_150_2
Torchlight: Infinite,Free,0.0,68.0,https://store.steampowered.com/app/1974050/Torchlight_Infinite/?snr=1_7_7_230_150_2
DayZ,2790 руб,2790.0,86.0,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_230_150_3
Terraria,385 руб,385.0,96.0,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_230_150_3
Cities: Skylines,479 руб,479.0,91.0,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_230_150_3
Frostpunk,165 руб,165.0,93.0,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_230_150_3
The Headliners,224 руб,224.0,81.0,https://store.steampowered.com/app/3059070/The_Headliners/?snr=1_7_7_230_150_3
Hunt: Showdown 1896,1219 руб,1219.0,63.0,https://store.steampowered.com/app/594650/Hunt_Showdown_1896/?snr=1_7_7_230_150_3
Soundpad,200 руб,200.0,96.0,https://store.steampowered.com/app/629520/Soundpad/?snr=1_7_7_230_150_3
Dune: Awakening,2990 руб,2990.0,,https://store.steampowered.com/app/1172710/Dune_Awakening/?snr=1_7_7_230_150_3
Squad,1799 руб,1799.0,85.0,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_230_150_3
Valheim,435 руб,435.0,,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_230_150_3
Stardew Valley,299 руб,299.0,,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_3
Satisfactory,1300 руб,1300.0,,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_230_150_3
Russian Fishing 4,Free,0.0,,https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_230_150_3
NARAKA: BLADEPOINT,Free,0.0,43.0,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_230_150_3
Farming Simulator 25,1950 руб,1950.0,85.0,https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_230_150_3
ELDEN RING NIGHTREIGN,2849 руб,2849.0,,https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN/?snr=1_7_7_230_150_3
Albion Online,Free,0.0,75.0,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_230_150_3
DARK SOULS™ II: Scholar of the First Sin,1199 руб,1199.0,,https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/?snr=1_7_7_230_150_3
Europa Universalis IV,276 руб,276.0,87.0,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_230_150_3
Ready or Not,2240 руб,2240.0,90.0,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_230_150_3
MudRunner,239 руб,239.0,90.0,https://store.steampowered.com/app/675010/MudRunner/?snr=1_7_7_230_150_3
Victoria 3,830 руб,830.0,73.0,https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_230_150_3
Cubic Odyssey,792 руб,792.0,78.0,https://store.steampowered.com/app/3400000/Cubic_Odyssey/?snr=1_7_7_230_150_3
Deep Rock Galactic,799 руб,799.0,96.0,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_230_150_3
The Binding of Isaac: Rebirth,449 руб,449.0,94.0,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_230_150_3
ARK: Survival Evolved,550 руб,550.0,91.0,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_230_150_4
EVERSPACE™ 2,480 руб,480.0,76.0,https://store.steampowered.com/app/1128920/EVERSPACE_2/?snr=1_7_7_230_150_4
Project Zomboid,710 руб,710.0,94.0,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_230_150_4
The First Descendant,Free,0.0,61.0,https://store.steampowered.com/app/2074920/The_First_Descendant/?snr=1_7_7_230_150_4
Garry's Mod,750 руб,750.0,96.0,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_230_150_4
American Truck Simulator,1249 руб,1249.0,96.0,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_230_150_4
Backrooms: Escape Together,385 руб,385.0,89.0,https://store.steampowered.com/app/2141730/Backrooms_Escape_Together/?snr=1_7_7_230_150_4
Don't Starve Together,349 руб,349.0,89.0,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_230_150_4
Frostpunk 2,1235 руб,1235.0,62.0,https://store.steampowered.com/app/1601580/Frostpunk_2/?snr=1_7_7_230_150_4
Summoners War,Free,0.0,70.0,https://store.steampowered.com/app/2426960/Summoners_War/?snr=1_7_7_230_150_4
Tempest Rising,1899 руб,1899.0,89.0,https://store.steampowered.com/app/1486920/Tempest_Rising/?snr=1_7_7_230_150_4
The First Berserker: Khazan,4299 руб,4299.0,88.0,https://store.steampowered.com/app/2680010/The_First_Berserker_Khazan/?snr=1_7_7_230_150_4
War Thunder,Free,0.0,74.0,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_4
Conan Exiles,630 руб,630.0,78.0,https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_230_150_4
The Outlast Trials,1300 руб,1300.0,91.0,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_230_150_4
RoadCraft,2499 руб,2499.0,,https://store.steampowered.com/app/2104890/RoadCraft/?snr=1_7_7_230_150_4
Deadzone: Rogue,900 руб,900.0,82.0,https://store.steampowered.com/app/3228590/Deadzone_Rogue/?snr=1_7_7_230_150_4
7 Days to Die,1500 руб,1500.0,88.0,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_230_150_4
Content Warning,224 руб,224.0,90.0,https://store.steampowered.com/app/2881650/Content_Warning/?snr=1_7_7_230_150_4
REKA,497 руб,497.0,75.0,https://store.steampowered.com/app/1737870/REKA/?snr=1_7_7_230_150_4
AI LIMIT,2100 руб,2100.0,94.0,https://store.steampowered.com/app/2407270/AI_LIMIT/?snr=1_7_7_230_150_4
STALCRAFT: X,Free,0.0,70.0,https://store.steampowered.com/app/1818450/STALCRAFT_X/?snr=1_7_7_230_150_4
RuneScape: Dragonwilds,1700 руб,1700.0,84.0,https://store.steampowered.com/app/1374490/RuneScape_Dragonwilds/?snr=1_7_7_230_150_4
Buckshot Roulette,99 руб,99.0,94.0,https://store.steampowered.com/app/2835570/Buckshot_Roulette/?snr=1_7_7_230_150_4
ELDEN RING Shadow of the Erdtree,2399 руб,2399.0,,https://store.steampowered.com/app/2778580/ELDEN_RING_Shadow_of_the_Erdtree/?snr=1_7_7_230_150_4
FOUNDRY,799 руб,799.0,70.0,https://store.steampowered.com/app/983870/FOUNDRY/?snr=1_7_7_230_150_5
Beholder: Conductor,"479,40 руб",479.4,89.0,https://store.steampowered.com/app/2825530/Beholder_Conductor/?snr=1_7_7_230_150_5
Medieval Dynasty,974 руб,974.0,84.0,https://store.steampowered.com/app/1129580/Medieval_Dynasty/?snr=1_7_7_230_150_5
War Robots,Free,0.0,54.0,https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_230_150_5
Factorio: Space Age,1200 руб,1200.0,87.0,https://store.steampowered.com/app/645390/Factorio_Space_Age/?snr=1_7_7_230_150_5
Cash Cleaner Simulator,359 руб,359.0,86.0,https://store.steampowered.com/app/2488370/Cash_Cleaner_Simulator/?snr=1_7_7_230_150_5
Blue Prince,1100 руб,1100.0,87.0,https://store.steampowered.com/app/1569580/Blue_Prince/?snr=1_7_7_230_150_5
Bodycam,1200 руб,1200.0,67.0,https://store.steampowered.com/app/2406770/Bodycam/?snr=1_7_7_230_150_5
Slime Rancher,199 руб,199.0,97.0,https://store.steampowered.com/app/433340/Slime_Rancher/?snr=1_7_7_230_150_5
Everlusting Life,Free,0.0,,https://store.steampowered.com/app/3218710/Everlusting_Life/?snr=1_7_7_230_150_5
ULTRAKILL,765 руб,765.0,97.0,https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_230_150_5
The Forest,435 руб,435.0,94.0,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_230_150_5
Broken Arrow,2400 руб,2400.0,,https://store.steampowered.com/app/1604270/Broken_Arrow/?snr=1_7_7_230_150_5
Guild Wars 2,Free,0.0,86.0,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_230_150_5
The Slormancer,532 руб,532.0,87.0,https://store.steampowered.com/app/1104280/The_Slormancer/?snr=1_7_7_230_150_5
Lethal Company,385 руб,385.0,92.0,https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_230_150_5
theHunter: Call of the Wild™,"539,60 руб",539.6,88.0,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_230_150_5
No Man's Sky,1900 руб,1900.0,88.0,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_230_150_5
Tainted Grail: The Fall of Avalon,1500 руб,1500.0,91.0,https://store.steampowered.com/app/1466060/Tainted_Grail_The_Fall_of_Avalon/?snr=1_7_7_230_150_5
Timberborn,840 руб,840.0,95.0,https://store.steampowered.com/app/1062090/Timberborn/?snr=1_7_7_230_150_5
City Car Driving,"86,89 руб",86.89,77.0,https://store.steampowered.com/app/493490/City_Car_Driving/?snr=1_7_7_230_150_5
RimWorld - Biotech,810 руб,810.0,100.0,https://store.steampowered.com/app/1826140/RimWorld__Biotech/?snr=1_7_7_230_150_5
ARK: Survival Ascended,4220 руб,4220.0,60.0,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_230_150_5
Wartales,1299 руб,1299.0,74.0,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_230_150_5
Totally Accurate Battle Simulator,271 руб,271.0,96.0,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_230_150_5
